predictor,physical_type,earliest_entry_stage,canonical_model_representation,model_entry_mode,publication_status,publication_value_source,publication_representation,inferential_role,binary_semantic_status,reference_label,comparison_label,clinical_unit,native_unit,reporting_unit,continuous_unit_scale,reference_level,category_order,raw_code_to_publication_label,functional_form_status,source_of_decision,needs_clinical_signoff,reason
endometriosis_surgery,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 = surgery vs value 0 = no surgery",BINARY,EXPLICITLY_DOCUMENTED,value 0 = no surgery,value 1 = surgery,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (physical_variable_type=binary, model_representation_type=binary_passthrough) + analysis/preprocessing/run_preprocessing.py (documented=""Binary field: 0=no surgery, 1=surgery."")",False,Canonical 0/1 binary passthrough with an explicit repository-documented numeric-to-meaning mapping (value 1 = surgery vs value 0 = no surgery); reference = value 0.
deep_endometriosis,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
cs_scar_endometriosis,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
VBAC,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_5,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_4,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
BMI_before,continuous,1,fold_safe_recomputed_continuous,direct,APPROVED,deterministic_recomputed_column,"APPROVED continuous, raw kg/m^2, OR per 1 kg/m^2 -- LINEAR functional form (final, locked)",CONTINUOUS,,,,kg/m^2,kg/m^2,1 kg/m^2,1.0,,,,LINEAR_FORM_APPROVED,"CLAUDE.md 'Anthropometry / Hb missingness (Data Cleaning B)' + manual_decisions_log.md Decision 27 (deterministically recomputed from observed weight/height only; NaN if either input missing) + FINAL FUNCTIONAL-FORM LOCK (ordinary one-slope logistic association, subject-cluster-robust covariance)",False,"Three distinct things, never interchangeable, none implying the others: (1) Data Cleaning B defines the canonical treatment POLICY and component-level reconstruction STRATEGY for BMI_before, but does not itself median-impute BMI_before directly and does not fit any predictive-CV median on the full cohort -- its own output (used for THIS univariable/descriptive representation) is a deterministic recompute from observed height/weight_before_pregnancy only, with NaN preserved whenever either input is missing (complete-case here, no imputation at this stage). (2) The predictive Decision 99 Compact Ridge model (locked internal-validation nested CV) also never median-imputes BMI_before directly: when a component is missing, the height/weight_before_pregnancy medians it uses are learned ONLY inside the relevant outer/inner TRAINING FOLD, via `FoldSafeRecomputedBMITransformer`, and BMI_before is then recomputed from those fold-safe components -- never from a full-cohort median for this predictive use. (3) The one-time final full-data refit and the separate secondary six-predictor adjusted-OR/Firth analysis both reuse the identical `FoldSafeRecomputedBMITransformer` component-level strategy, but fit its medians on their own corresponding full analysis dataset (the full 431-row refit cohort, and the full-cohort secondary analysis, respectively) rather than a training fold -- Modeling implements each of these data-derived steps at the correct scope (fold-safe for (2), full-cohort for (3)); this contract row is Data Cleaning B's own complete-case representation only and reflects none of them. OR reported per 1 kg/m^2, one-slope logistic association. LINEAR_FORM_APPROVED (final, locked). FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
P,count,1,same_as_physical_numeric,direct,DESCRIPTIVE_ONLY,raw_cleaned_column,"descriptive only, raw count — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,count (number of previous deliveries),count,n/a,,,,,NOT_APPLICABLE,docs/data_dictionary/clinical_variable_dictionary.yaml (P: number of previous deliveries) + FINAL FUNCTIONAL-FORM LOCK,False,"Moved to DESCRIPTIVE_ONLY (final, locked): the clinically important contrast is largely nulliparous vs parous, and the project already contains the corrected canonical nulliparity predictor (BINARY, EXPLICITLY_DOCUMENTED). No new P categories are created after viewing the outcome; no primary whole-cohort per-additional-delivery OR is fitted. Remains fully visible in Table 1, the representation/quality audit, and descriptive support outputs. FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
oligohydramnios,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis_feature_9,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
G,count,1,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED count, OR per 1 pregnancy -- LINEAR functional form (final, locked)",COUNT,,,,"count (number of pregnancies, including the current one)",count,1 pregnancy,1.0,,,,LINEAR_FORM_APPROVED,"docs/data_dictionary/clinical_variable_dictionary.yaml (G: number of pregnancies, including the current one) + FINAL FUNCTIONAL-FORM LOCK (ordinary one-slope count association, subject-cluster-robust covariance)",False,"Ordinary obstetric-history count; OR reported per 1 pregnancy, one-slope logistic association. The full observed count support is retained; the upper tail is sparse (documented, not merged). No cutoff or grouped G predictor is created. LINEAR_FORM_APPROVED (final, locked). FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
derived_placental_dysfunction_proxy,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
derived_diabetes_type_grouped,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='no_diabetes', display order=['no_diabetes', 'pregestational', 'GDMA1', 'GDMA2']",CATEGORICAL,,,,categorical level,category label,n/a,,no_diabetes,"['no_diabetes', 'pregestational', 'GDMA1', 'GDMA2']",,NOT_APPLICABLE,"analysis/eda/notebook_build/eda_c/eda_c_part3_feature_engineering.py DERIVED_FEATURE_CONTRACTS['derived_diabetes_type_grouped'] (deterministic grouping: 0->no_diabetes, 1/2/3->pregestational, 4->GDMA1, 5->GDMA2) + Representation Sign-off task (clinical-meaning-based display order approved)",False,"NOMINAL dummy-coded categorical; reference = no_diabetes. The display order (no_diabetes, pregestational, GDMA1, GDMA2) does NOT imply a numeric severity scale -- it reflects clinical grouping/interpretability, not outcome association. Clinical sign-off given (Representation Sign-off task)."
indication_for_induction_status,categorical,3,one_hot_categorical,direct,DESCRIPTIVE_ONLY,derived_categorical_column,"descriptive only, raw category label — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,induction indication status (high-cardinality),category label,n/a,,,,,NOT_APPLICABLE,outputs/eda_c/candidate_model_features.csv (physical_n_categories = 22); Representation Sign-off task §6A,False,"High-cardinality field (~22 observed levels/combinations representing heterogeneous induction indications); with only 61 target events, an ordinary many-parameter categorical association model is not supported. No post-hoc outcome-driven grouping is used to force estimability. Retained fully in descriptive tables / quality audit."
adenomyosis_feature_10,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
derived_prior_endo_surgery_procedure_status,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='no_prior_endo_surgery', display order=['no_prior_endo_surgery', 'prior_surgery_no_selected_procedure_documented', 'prior_surgery_with_selected_procedure_documented']",CATEGORICAL,,,,categorical level,category label,n/a,,no_prior_endo_surgery,"['no_prior_endo_surgery', 'prior_surgery_no_selected_procedure_documented', 'prior_surgery_with_selected_procedure_documented']",,NOT_APPLICABLE,analysis/eda/notebook_build/eda_c/eda_c_part3_feature_engineering.py DERIVED_FEATURE_CONTRACTS['derived_prior_endo_surgery_procedure_status'] + Representation Sign-off task (exploratory categorical approved),False,"EXPLORATORY nominal dummy-coded categorical; reference = no_prior_endo_surgery. 'prior_surgery_no_selected_procedure_documented' means EXACTLY: prior endometriosis surgery with none of the SELECTED structured procedure indicators documented as positive -- it must never be read as 'no procedure' / 'no resection' / 'no treatment', since the selected structured variables are only a subset of possible procedures. Association only, no causal-effect language. Clinical sign-off given (Representation Sign-off task)."
any_PET_cat,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='absent', display order=['absent', 'present', 'not_documented']",CATEGORICAL,,,,categorical level,category label,n/a,,absent,"['absent', 'present', 'not_documented']",,NOT_APPLICABLE,CLAUDE.md Approved Clinical Rules '(severe_PET / any_PET)' + manual_decisions_log.md Decisions 27/71/94 (explicit present/absent/not_documented enumeration; approved Stage-1 predictor_allowed),False,Reference = preeclampsia absent; documented-status categorical with the explicit not_documented category last. Clinical sign-off given (Representation Sign-off task).
derived_hypertension_pih_pet_spectrum,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='no_hypertensive_disorder', display order=['no_hypertensive_disorder', 'pih_gestational_htn', 'preeclampsia_spectrum']",CATEGORICAL,,,,categorical level,category label,n/a,,no_hypertensive_disorder,"['no_hypertensive_disorder', 'pih_gestational_htn', 'preeclampsia_spectrum']",,NOT_APPLICABLE,analysis/eda/notebook_build/eda_c/eda_c_part3_feature_engineering.py DERIVED_FEATURE_CONTRACTS['derived_hypertension_pih_pet_spectrum'] + Representation Sign-off task (clinical-meaning-based display order approved),False,NOMINAL dummy-coded categorical; reference = no_hypertensive_disorder. The three states are not modeled as a numeric score. Existing unresolved-state missingness behavior is preserved -- unresolved PET documentation is never converted to absence. Clinical sign-off given (Representation Sign-off task).
adenomyosis_feature_2,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endometrioma_size_status,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='no_endometrioma', display order=['no_endometrioma', 'endometrioma_less_than_30mm', 'endometrioma_30mm_or_more', 'endometrioma_size_unknown']",CATEGORICAL,,,,categorical level,category label,n/a,,no_endometrioma,"['no_endometrioma', 'endometrioma_less_than_30mm', 'endometrioma_30mm_or_more', 'endometrioma_size_unknown']",,NOT_APPLICABLE,CLAUDE.md Approved Clinical Rules 'Endometrioma derived variables (Data Cleaning B)' + manual_decisions_log.md Decisions 22/24/25/70/84 (explicit 4-level enumeration; clinically-sourced 30 mm cutoff; unknown is an explicit category),False,Reference = absence of endometrioma; order follows the documented clinical size gradient with the explicit unknown category last. Clinical sign-off given (Representation Sign-off task).
severe_PET_cat,categorical,1,one_hot_categorical,direct,APPROVED,derived_categorical_column,"APPROVED categorical (treatment/dummy coding), reference='absent', display order=['absent', 'present', 'not_documented']",CATEGORICAL,,,,categorical level,category label,n/a,,absent,"['absent', 'present', 'not_documented']",,NOT_APPLICABLE,CLAUDE.md Approved Clinical Rules '(severe_PET / any_PET)' + manual_decisions_log.md Decisions 27/71/94 (explicit present/absent/not_documented enumeration; approved Stage-1 predictor_allowed),False,Reference = severe preeclampsia absent; documented-status categorical with the explicit not_documented category last. Only 2 'present' rows — separation risk noted. Clinical sign-off given (Representation Sign-off task).
