new_column,source_column,creation_rule,timing,leakage_status,intended_use,creation_section,upstream_lineage,predictor_classification,stage,clinical_timing,domain,redundancy_group,materialized_in_B,model_entry_mode,redundant_with,cutpoint_source
adenomyosis_feature_7,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 7 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_8,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 8 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_9,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 9 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_features_unknown,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and no specific positive sonographic feature is documented (source genuinely missing); 0 otherwise. No feature imputation, no assignment to a common combination.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
any_PET_cat,any_PET,"'absent'/'present'/'not_documented' string labels -- NOT 0/1/2 numeric codes, so this is never mistaken for an ordinal/numeric variable downstream. 'not_documented' is a distinct state, not equivalent to 'absent'. Mechanism screen found missingness associated with observed data (MCAR unlikely) -- not silently imputed.",same_as_source,no,review,B5e,,predictor_allowed,1,pregnancy,pregnancy_complication,hypertension_pet_family,True,direct,UNSET,UNSET
derived_endo_surgery_adhesion_status,"endometriosis_surgery, endo_surgery_adhesiolysis","categorical full-cohort status: no_prior_endo_surgery when endometriosis_surgery==0 (structural); prior_surgery_with_documented_adhesions when endometriosis_surgery==1 and endo_surgery_adhesiolysis==1; prior_surgery_without_documented_adhesions when endometriosis_surgery==1 and endo_surgery_adhesiolysis==0. Documents adhesion FINDING, not whether adhesiolysis was performed (see endo_resection_adhesiolysis for the performed-procedure variable). No 4th 'unknown' category exists because the current cohort has 0 genuinely missing applicable rows; construction fails loud if that invariant is ever violated by future data.",same_as_source,no,review,B5g,,predictor_allowed,1,pre_pregnancy,prior_endo_surgery,endo_surgery_adhesion_status_representation,True,direct,endometriosis_surgery,UNSET
endometrioma_presence_laterality,"endometrioma, endometrioma_laterality","Categorical representation: none if endometrioma==0; unilateral if endometrioma==1 and laterality/location indicates right/left/unilateral; bilateral if endometrioma==1 and laterality/location indicates bilateral; laterality_unknown if endometrioma==1 and laterality/location is genuinely unresolved (explicit category, not true NaN -- final column has 0 missing). No upstream mode imputation is performed.",same_as_source,no,review,B5c,endometrioma_place_clean (endometrioma_laterality was derived from it in preprocessing),predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,endometrioma_presence_laterality_representation,True,direct,UNSET,UNSET
endometrioma_size_status,"endometrioma, endometrioma_size_clean",categorical full-cohort status: no_endometrioma when endometrioma==0; endometrioma_less_than_30mm when endometrioma==1 and documented size <30mm; endometrioma_30mm_or_more when endometrioma==1 and documented size >=30mm; endometrioma_size_unknown when endometrioma==1 and size is genuinely missing/unusable. No size imputation is performed; structural not-applicable and genuine unknown are distinguished.,same_as_source,no,review,B5c,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,endometrioma_size_status_representation,True,direct,UNSET,UNSET
gestational_age_at_PPROM_days,gestational_age_at_PPROM_days,"raw source column, passed through unchanged (no imputation). May feed the modeling-stage fold-safe PPROM-timing transformer internally as a transform dependency (together with the raw binary PPROM gate column); must never independently enter a design matrix as a plain numeric predictor.",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,antepartum,obstetric,pprom_timing_representation,True,transform_source_only,UNSET,UNSET
gestational_age_at_PPROM_days_timing_status,"gestational_age_at_PPROM_days, PPROM","DOCUMENTED REPRESENTATION ONLY -- not computed as a df_clean column in Data Cleaning B. B decides: four nominal categories -- no_PPROM (structural, PPROM==0), PPROM_earlier / PPROM_later (observed-timing median split within the PPROM==1 applicable subgroup, n_applicable=17), PPROM_timing_unknown (genuinely missing applicable timing, n=1). The actual median cutpoint is fitted training-fold-only by a fold-safe transformer at modeling time -- never from the full cohort, never here in B, and never derived from gestational_age_at_delivery_days (Stage-3-only; would leak into this Stage-2 representation).",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,antepartum,obstetric,pprom_timing_representation,False,direct,UNSET,fold_safe_training_only
indication_for_induction_status,"induction_any_bin, indication_for_induction_clean","categorical full-cohort status: no_induction when induction_any_bin==0 (structural); induction_indication_unknown when induction_any_bin==1 and indication_for_induction_clean is genuinely missing; otherwise the observed indication string preserved verbatim (including multi-indication combinations, unmodified). induction_any_bin is reconstructable from this status (no_induction -> 0, else -> 1) -- registered as a redundancy pair, not independently selectable alongside this status.",same_as_source,no,review,B5h,,intrapartum_predictor_exclude_from_prelabor_model,3,admission_labor,labor_induction,indication_for_induction_status_representation,True,direct,induction_any_bin,UNSET
severe_PET_cat,severe_PET,"'absent'/'present'/'not_documented' string labels -- NOT 0/1/2 numeric codes, so this is never mistaken for an ordinal/numeric variable downstream. 'not_documented' is a distinct state, not equivalent to 'absent'. Mechanism screen found missingness associated with observed data (MCAR unlikely) -- not silently imputed.",same_as_source,no,review,B5e,,predictor_allowed,1,pregnancy,pregnancy_complication,hypertension_pet_family,True,direct,UNSET,UNSET
weight_in_pregnancy,weight_in_pregnancy,"raw source column, passed through unchanged (no imputation, no formula completion). May feed the modeling-stage fold-safe weight_in_pregnancy_cat transformer internally as a transform dependency; must never independently enter a design matrix as a plain numeric predictor.",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,pregnancy,anthropometric,weight_in_pregnancy_representation,True,transform_source_only,UNSET,UNSET
weight_in_pregnancy_cat,weight_in_pregnancy,"DOCUMENTED REPRESENTATION ONLY -- not computed as a df_clean column in Data Cleaning B. B decides: four nominal categories low_observed/mid_observed/high_observed (observed-value tertiles of weight_in_pregnancy) plus not_documented for missing rows. The actual q33/q67 cutpoints are fitted training-fold-only by a fold-safe transformer at modeling time -- never from the full cohort, never here in B.",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,pregnancy,anthropometric,weight_in_pregnancy_representation,False,direct,UNSET,fold_safe_training_only
