column_name,classification,reason
endometrioma_place,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
adenomyosis_sonographic_features,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
endometriosis_surgery,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_sites,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
vaginal_opening_during_surgery,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
bowel_lesion_resected,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
bladder_lesion_resected,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
surgery_details,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
endo_surgery_adhesiolysis,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
comment_1,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
weight_before_pregnancy,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
weight_in_pregnancy,secondary_near_delivery_predictor,"Near-delivery or labor-adjacent predictors; not treated as target leakage, but separated from the main baseline predictor set. Excluded from Stage 1 (pre-labor); eligible for Stage 2 (pre-labor + near-delivery) and Stage 3 (Decision 65)."
height,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
BMI_before,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
BMI_after,secondary_near_delivery_predictor,"Restored to secondary near-delivery predictor status (Decision 86, 2026-08-27), superseding Decision 69. BMI_after is formula-derived from weight_in_pregnancy and height, a pregnancy-time measurement pair, rather than an independently-sourced postpartum value. Excluded from Stage 1 (pre-labor); eligible for Stage 2 (pre-labor + near-delivery) and Stage 3 (Decision 65), the same horizon as this group's other members. This decision addresses predictor-timing/scope only; BMI_after's missingness-handling method is a separate decision, closed the same day by Decision 91 (fold-safe observed-value tertile representation, Data Cleaning B Section B5b, cutpoints fitted training-fold-only in modeling) -- not an open question."
aspirin_during_pregnancy,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
clexane_during_pregnancy,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
mode_of_conception,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
mode_of_conception_details,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
mode_of_conception_ivf_vs_all,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
PPROM,secondary_near_delivery_predictor,"Near-delivery or labor-adjacent predictors; not treated as target leakage, but separated from the main baseline predictor set. Excluded from Stage 1 (pre-labor); eligible for Stage 2 (pre-labor + near-delivery) and Stage 3 (Decision 65)."
gestational_age_at_PPROM,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
pregnancy_related_hypertensive_disorder,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
PIH,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
mild_PET,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
severe_PET,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
any_PET,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
SIPET,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
HELLP,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
eclampsia,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
gestational_diabetes,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
diabetes_type,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
IUGR,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
placental_abruption,secondary_near_delivery_predictor,"Near-delivery timing approved by Keren (Decision 68, corrected 2026-08-15): may be identified close to the delivery episode. Cleared for modeling (no longer pending timing confirmation) -- eligible from Stage 2 (pre-labor + near-delivery) onward, per Decision 65."
chorioamnionitis,source_or_text_audit_exclude,Source clinical variable retained for audit. Keren clarified that chorioamnionitis and intrapartum fever cannot be reliably distinguished clinically in this dataset and partly overlap; their information is therefore consolidated into a separate combined variable.
PPH,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
oligohydramnios,predictor_allowed,"Assessed by ultrasound during pregnancy, similarly to polyhydramnios, and therefore available before delivery."
polyhydramnios,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
meconium_stained_amniotic_fluid,intrapartum_predictor_exclude_from_prelabor_model,"Variables with clinically confirmed intrapartum timing (relayed by Keren to the project team on 2026-07-28). Not outcomes or audit-only variables (distinct from intrapartum_or_post_delivery_exclude). Excluded from Stage 1 (pre-labor) and Stage 2 (pre-labor + near-delivery); eligible only for Stage 3 (pre-labor + near-delivery + intrapartum), per Decision 65. Stage 3 is an intrapartum risk-update model, not an early/prelabor model."
IUFD,predictor_allowed,Predictor eligibility confirmed by clinical expert instruction (Keren).
celestone,predictor_allowed,"Antenatal corticosteroid administered during pregnancy when there is a risk of preterm delivery, and therefore given before delivery."
magnesium,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
comment_2,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
gestational_age_at_delivery,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
induction_of_labor,source_or_text_audit_exclude,"Source variable describing the induction methods performed. Its information is consolidated into a separate derived induction variable, while the source variable is retained for audit and traceability."
start_of_labor,source_or_text_audit_exclude,"Source variable describing how labor started. Its information is consolidated with the induction information into a separate derived variable, while the source variable is retained for audit and traceability."
indication_for_induction,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
CS_case_vs_control,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
comment_3,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
trial_of_labor,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
type_of_CS,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
indication_for_CS,source_or_text_audit_exclude,Source cesarean-indication variable retained for audit and traceability after its information is processed into a separate cleaned or derived variable.
comment_4,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
suspected_endo_lesions_during_CS,source_or_text_audit_exclude,Source variable retained for audit and traceability after its information is represented by a separate cleaned or derived variable.
abdominal_cavity_findings,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
other_surgery_complications,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
adhesions,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
comment_5,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
blood_loss_during_surgery,leakage_exclude,"Variables that directly encode the target, cesarean decision, cesarean indication, or operative findings after the target decision; excluded from predictors."
Hb_before_delivery,secondary_near_delivery_predictor,"Near-delivery or labor-adjacent predictors; not treated as target leakage, but separated from the main baseline predictor set. Excluded from Stage 1 (pre-labor); eligible for Stage 2 (pre-labor + near-delivery) and Stage 3 (Decision 65)."
Hb_after_delivery,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
Hb_diff,source_or_text_audit_exclude,Source or redundant hemoglobin-difference variable retained for audit because alternative hemoglobin variables are used for the analytical representation.
intrapartum_fever,source_or_text_audit_exclude,Source clinical variable retained for audit. Keren clarified that intrapartum fever and chorioamnionitis cannot be reliably distinguished clinically in this dataset and partly overlap; their information is therefore consolidated into a separate combined variable.
postpartum_fever,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
surgical_site_infection,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
endometritis,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
any_blood_product_transfusion,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
hospitalization_days,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
comment_6,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
gender,intrapartum_or_post_delivery_exclude,"This dataset column is based on newborn/neonatal data. The classification is based on how this specific dataset column was populated, not on whether fetal sex can theoretically be known during pregnancy; treated as unavailable at the intended pre-labor prediction stage."
pH_vein,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
pH_artery,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
pH_artery_or_vein_less_than_7_1,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
apgar1,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
apgar5,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
apgar_5_less_than_7,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
birth_weight,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
percentile_by_Dolberg,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
SGA,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
LGA,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
IVH,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
IVH_grade_1_2,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
IVH_grade_3_4,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
NICU_admission,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
RDS,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
mechanical_ventilation,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
length_of_mechanical_ventilation,intrapartum_or_post_delivery_exclude,"Describes the duration of neonatal mechanical ventilation after delivery; unavailable at the intended prediction stage. Post-delivery timing is the primary exclusion reason and takes precedence over the variable's free-text storage format, which is a secondary characteristic only."
NEC,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
sepsis,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
hypoglycemia,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
neonatal_jaundice_used_phototherapy,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
neonatal_death,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
age_at_neonatal_death,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
congenital_anomaly,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
congenital_anomaly_comment,intrapartum_or_post_delivery_exclude,"Post-delivery neonatal outcome detail. Its post-delivery timing is the primary reason for exclusion, even though the variable contains descriptive text."
long_term_outcome,intrapartum_or_post_delivery_exclude,"Variables measured or determined during labor, delivery, postpartum, or neonatal period; retained for outcomes/audit only and excluded from predictor modeling."
long_term_outcome_comment,intrapartum_or_post_delivery_exclude,"Post-delivery long-term neonatal outcome detail. Its post-delivery timing is the primary reason for exclusion, even though the variable contains descriptive text."
trial_of_labor_corrected,cohort_control_exclude,Derived cohort-control variable used to identify and retain women who underwent a trial of labor. It is constant after cohort filtering and is excluded from predictor modeling.
decision67_sensitivity_19group_excluded,cohort_control_exclude,Decision 67 sensitivity-cohort flag: True for a record retained under the primary exclusion rule but excluded under a broader suspected-superficial-only sensitivity definition. Excluded from predictor modeling; audit/reproducibility only.
decision67_sensitivity_26group_excluded,cohort_control_exclude,Decision 67 sensitivity-cohort flag: True for a record retained under the primary exclusion rule but excluded under a broader suspected-superficial-only sensitivity definition. Excluded from predictor modeling; audit/reproducibility only.
target_intrapartum_cs,target,Primary outcome/label; excluded from predictors.
diagnosis_year,source_or_text_audit_exclude,"diagnosis_year is the literal calendar year in which the endometriosis diagnosis was documented (derived from diagnosis_date) -- not disease duration, not age at diagnosis, and not time since diagnosis. Deliberate project decision: a calendar-time-of-diagnosis field must not be predictor-eligible, regardless of its pre-labor availability (which is why it was previously predictor_allowed -- see the superseded PARTNER-FIX-02/PRE-B5-001 rationale still noted at its old location above). Retained in the analytical dataset, alongside its source diagnosis_date, for audit/descriptive purposes only; excluded from Stage 1/2/3, PRIMARY_COLS, and every predictive candidate pool. No replacement diagnosis-time-derived predictor (age at diagnosis, disease duration, time since diagnosis) was created as part of this decision."
adenomyosis_sonographic_features_clean,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endometrioma_size_clean,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endometrioma_place_clean,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endometrioma_laterality,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endometriosis_surgery_comment,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
endo_resection_sites_clean,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
endo_resection_no_resection,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endo_resection_ovarian_endometrioma_unilateral,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
